Universal,START_TIME,WHP,WHT
B-G-14,2018-12-01,19.981686071428573,68.8723724404762
B-G-14,2019-01-01,18.573777925690443,70.30152326644148
B-G-14,2019-02-01,18.535184617840052,70.51431203007519
B-G-14,2019-03-01,17.757189693593315,71.66185358137685
B-G-14,2019-04-01,17.211554720853858,73.05981151477833
B-G-14,2019-05-01,17.475523940458963,72.2273132520157
B-G-14,2019-06-01,18.20151947865353,71.18782984400657
B-G-14,2019-07-01,22.916465914085915,63.02113484515484
B-G-14,2019-08-01,18.002626226902443,65.6300534273793
B-G-14,2019-09-01,20.011628057553956,65.87558902363823
B-G-14,2019-10-01,18.65718626984127,68.03718178571428
B-G-14,2019-11-01,18.93774006615671,68.02033493901178
B-G-14,2019-12-01,17.111439920634922,69.13638359126985
B-G-14,2020-01-01,17.863761522586564,68.22327725292364
